Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,CLVS1_A00_neg m/z,CLVS1_A00_neg RT mean,CLVS1_A00_neg Normalized Area,CLVS1_A04_neg m/z,CLVS1_A04_neg RT mean,CLVS1_A04_neg Normalized Area,CLVS1_A05_neg m/z,CLVS1_A05_neg RT mean,CLVS1_A05_neg Normalized Area,CLVS1_A06_neg m/z,CLVS1_A06_neg RT mean,CLVS1_A06_neg Normalized Area,CLVS1_A07_neg m/z,CLVS1_A07_neg RT mean,CLVS1_A07_neg Normalized Area,CLVS1_A08_neg m/z,CLVS1_A08_neg RT mean,CLVS1_A08_neg Normalized Area,CLVS1_A09_neg m/z,CLVS1_A09_neg RT mean,CLVS1_A09_neg Normalized Area,CLVS1_A10_neg m/z,CLVS1_A10_neg RT mean,CLVS1_A10_neg Normalized Area,CLVS1_A11_neg m/z,CLVS1_A11_neg RT mean,CLVS1_A11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.26,4.68,664.8262,13.91 - 19.19,1,8.9E3,664.8248,15.30,3.62E3,664.8257,14.23,5.03E3,664.8254,14.46,6.34E3,-,-,0,664.8256,14.19,2.19E4,664.8278,15.56,4.42E3,-,-,0,664.8268,15.37,2.12E4,664.8274,14.72,1.78E4,1.00:1.39:1.75:0:6.04:1.22:0:5.86:4.91,6.88E3,1.3E4,0.53:1.00,14.83,,
,0.00,4.68,712.7620,6.15 - 6.58,1,74,712.7654,6.51,2.63E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,712.7585,6.18,4.02E2,-,-,0,1.00:0:0:0:0:0:0:1.53:0,4.39E1,1.34E2,0.33:1.00,6.35,,
,0.02,4.68,778.7560,7.67 - 9.43,1,269.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,778.7555,9.28,9.78E2,-,-,0,778.7573,7.68,5.81E2,778.7554,8.88,8.65E2,0:0:0:0:0:1.00:0:0.59:0.88,1.63E2,4.82E2,0.34:1.00,8.62,,
,0.30,4.68,756.8293,6.95 - 9.39,1,1.3E3,756.8299,8.98,4.35E2,-,-,-,756.8281,8.37,4.44E2,756.8293,8.35,5.77E2,756.8267,9.11,2.68E3,756.8329,7.96,8E2,756.8278,8.81,1.83E3,756.8309,7.02,1.6E3,756.8286,8.99,1.71E3,0.24:-:0.24:0.32:1.47:0.44:1.00:0.88:0.94,9.87E2,1.71E3,0.58:1.00,8.45,,
,0.14,4.68,727.8131,11.78 - 13.38,1,330.9,727.8174,13.33,3.05E2,727.8167,12.36,4.04E2,727.8148,12.79,3.88E2,727.8073,11.81,2.66E2,-,-,0,-,-,0,727.8071,12.32,4.13E2,727.8156,12.54,1.2E3,-,-,0,0.74:0.98:0.94:0.64:0:0:1.00:2.91:0,2.27E2,5.39E2,0.42:1.00,12.52,,
,0.33,4.68,752.7124,15.95 - 16.14,1,3.7E3,752.7137,16.03,3.32E3,752.7119,16.06,3.8E3,752.7117,16.04,5.54E3,752.7109,16.05,2.23E3,-,-,0,752.7131,16.01,1.08E4,752.7119,16.05,3.91E3,-,-,0,752.7132,16.05,4.14E3,0.85:0.97:1.42:0.57:0:2.76:1.00:0:1.06,4.28E3,2.68E3,1.60:1.00,16.04,,
,0.43,4.68,372.8306,6.05 - 8.38,1,1.3E3,372.8308,7.84,1.33E3,372.8308,8.27,6.11E2,372.8308,7.10,1.07E3,372.8308,6.84,1.57E3,372.8302,6.62,1.35E3,372.8300,7.56,6.92E2,372.8309,6.89,2.08E3,372.8300,6.07,1.95E3,372.8308,6.20,1.1E3,0.64:0.29:0.51:0.76:0.65:0.33:1.00:0.94:0.53,1.1E3,1.71E3,0.64:1.00,7.04,,
,0.47,4.68,646.8543,14.37 - 20.27,1,2.4E6,646.8535,19.44,1.73E6,646.8545,19.42,1.51E6,646.8545,19.42,1.96E6,646.8545,19.37,1.98E6,646.8541,19.43,2.4E6,646.8541,19.41,2.24E6,646.8545,19.43,2.61E6,646.8541,20.11,4.17E6,646.8549,19.41,2.94E6,0.66:0.58:0.75:0.76:0.92:0.86:1.00:1.60:1.13,1.97E6,3.24E6,0.61:1.00,19.49,,
,0.14,4.67,712.7620,5.30 - 6.80,1,451.8,712.7618,6.77,3.71E2,-,-,0,-,-,0,712.7654,6.73,2.9E2,712.7578,5.74,7.25E2,712.7583,6.03,4.3E2,712.7686,5.54,6.03E2,712.7600,5.34,1.65E3,-,-,0,0.62:0:0:0.48:1.20:0.71:1.00:2.73:0,3.03E2,7.5E2,0.40:1.00,6.02,,
,0.04,4.67,751.7428,20.98 - 21.82,1,66,-,-,0,-,-,0,-,-,0,751.7401,21.00,1.03E2,-,-,0,751.7424,21.49,1.34E2,-,-,0,751.7460,21.81,3.56E2,-,-,0,0:0:0:1.00:0:1.30:0:3.45:0,3.96E1,1.19E2,0.33:1.00,21.43,,
,0.27,4.67,743.7900,7.16 - 9.49,1,637.6,743.7861,9.09,1.89E2,743.7904,9.42,5.24E2,-,-,-,743.7872,9.04,6.1E2,743.7897,7.31,4.78E2,743.7927,8.66,5.51E2,743.7885,7.34,3.81E2,743.7927,8.73,7.53E2,743.7926,7.26,1.62E3,0.49:1.37:-:1.60:1.25:1.44:1.00:1.98:4.24,4.7E2,9.17E2,0.51:1.00,8.36,,
,0.02,4.67,726.7976,6.96 - 10.23,1,211.7,-,-,0,726.8015,10.22,2.9E2,-,-,0,726.7972,9.40,4.69E2,-,-,0,-,-,0,-,-,0,-,-,0,726.7941,6.99,1.15E3,0:1.00:0:1.62:0:0:0:0:3.95,1.26E2,3.82E2,0.33:1.00,8.87,,
,0.09,4.67,852.7487,13.49 - 13.99,1,78.1,-,-,0,852.7468,13.96,3.06E2,-,-,0,-,-,0,-,-,0,-,-,0,852.7505,13.56,3.97E2,-,-,0,-,-,0,0:0.77:0:0:0:0:1.00:0:0,5.09E1,1.32E2,0.38:1.00,13.76,,
,0.06,4.67,304.8431,12.29 - 13.29,1,203.9,-,-,0,304.8440,12.79,5.73E2,304.8427,12.94,2.05E2,-,-,0,-,-,0,-,-,0,-,-,0,304.8431,13.22,5.83E2,304.8426,12.33,4.74E2,0:1.00:0.36:0:0:0:0:1.02:0.83,1.3E2,3.52E2,0.37:1.00,12.82,,
,0.39,4.67,642.7793,14.35 - 16.63,1,3.5E3,642.7778,15.81,2.83E3,642.7726,16.46,1.88E3,642.7816,15.32,2.33E3,642.7794,14.52,2.38E3,642.7811,15.74,4.16E3,642.7800,15.56,3.79E3,642.7830,16.05,4.77E3,642.7778,15.68,4.09E3,642.7804,14.37,5.01E3,0.59:0.39:0.49:0.50:0.87:0.79:1.00:0.86:1.05,2.9E3,4.62E3,0.63:1.00,15.50,,
,0.40,4.67,668.7848,11.04 - 13.48,1,1.6E3,668.7845,12.10,1.87E3,668.7848,12.03,3.3E2,668.7852,11.95,1.68E3,668.7847,12.26,1.35E3,668.7856,12.18,1.21E3,668.7859,13.28,1.24E3,668.7859,12.12,9.5E2,668.7804,11.21,3.92E3,668.7864,12.18,1.51E3,1.97:0.35:1.77:1.42:1.27:1.30:1.00:4.12:1.58,1.28E3,2.12E3,0.60:1.00,12.14,,
,0.12,4.67,322.9035,4.92 - 16.21,1,7.7E5,322.9034,10.87,6.06E5,-,-,0,-,-,0,322.9033,11.21,5.89E5,322.9035,11.12,8.73E5,322.9035,11.15,9.08E5,322.9035,11.01,9.28E5,322.9036,10.12,1.77E6,322.9037,9.92,1.28E6,0.65:0:0:0.63:0.94:0.98:1.00:1.91:1.38,4.96E5,1.33E6,0.37:1.00,10.77,,
,0.13,4.67,1402.7127,20.13 - 20.22,1,801,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1402.7067,20.17,3.14E3,-,-,0,1402.7188,20.21,4.07E3,-,-,0,0:0:0:0:0:1.00:0:1.30:0,5.23E2,1.36E3,0.39:1.00,20.19,,
,0.29,4.67,597.4278,8.92 - 9.90,1,1.6E3,597.4280,9.10,2.31E3,-,-,0,597.4269,9.11,1.7E3,597.4272,9.10,1.05E3,597.4275,9.05,1.35E3,597.4276,9.09,1.35E3,597.4291,9.07,1.65E3,-,-,0,597.4280,9.43,4.62E3,1.39:0:1.03:0.63:0.82:0.82:1.00:0:2.79,1.29E3,2.09E3,0.62:1.00,9.13,,
,0.12,4.67,640.7769,20.28 - 21.72,1,595.6,640.7832,20.87,1.36E2,640.7791,20.44,1.77E3,-,-,0,640.7794,20.46,1.65E3,640.7725,21.70,2.33E2,640.7687,21.47,7.28E2,-,-,0,-,-,0,640.7787,20.40,8.46E2,1.00:12.97:0:12.10:1.71:5.34:0:0:6.21,7.52E2,2.82E2,2.67:1.00,20.89,,
,0.64,4.67,297.1691,0.10 - 0.77,1,9.4E5,297.1693,0.66,1.01E4,-,-,0,297.1691,0.15,4.49E6,297.1694,0.28,1.81E4,297.1696,0.29,4.12E4,297.1683,0.14,3.72E5,297.1687,0.14,1.95E6,-,-,0,297.1693,0.16,1.59E6,0.01:0:2.30:0.01:0.02:0.19:1.00:0:0.82,8.22E5,1.18E6,0.70:1.00,0.26,,
,0.03,4.67,744.8209,19.63 - 20.23,1,535,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,744.8229,20.10,1.97E3,-,-,0,744.8177,19.68,1.97E3,744.8220,19.83,8.74E2,0:0:0:0:0:1.00:0:1.00:0.44,3.28E2,9.49E2,0.35:1.00,19.87,,
,0.31,4.67,546.8401,8.33 - 9.47,1,850.4,546.8396,9.39,3.96E2,546.8414,8.76,8.09E2,546.8400,9.18,5.45E2,546.8396,9.10,9.18E2,546.8407,9.16,1.18E3,546.8389,8.96,5.57E2,546.8390,8.79,8.52E2,-,-,-,546.8416,8.53,1.55E3,0.46:0.95:0.64:1.08:1.38:0.65:1.00:-:1.82,7.34E2,1.2E3,0.61:1.00,8.98,,
,0.06,4.67,861.7836,9.00 - 10.37,1,174.5,-,-,0,-,-,0,861.7837,9.44,2.93E2,861.7766,10.34,3.57E2,-,-,0,-,-,0,861.7893,9.66,3.61E2,861.7846,9.01,5.6E2,-,-,0,0:0:0.81:0.99:0:0:1.00:1.55:0,1.08E2,3.07E2,0.35:1.00,9.61,,
,0.07,4.67,470.8386,1.09 - 3.10,1,832.7,-,-,0,-,-,0,-,-,0,-,-,0,470.8389,1.75,3.09E3,-,-,0,470.8377,1.42,1.35E3,470.8401,2.97,1.55E3,470.8376,1.68,1.5E3,0:0:0:0:2.28:0:1.00:1.14:1.11,5.15E2,1.47E3,0.35:1.00,1.95,,
,0.06,4.67,662.8349,1.68 - 3.27,1,433.2,-,-,0,-,-,0,-,-,0,662.8332,2.29,1.11E3,662.8334,2.06,2.19E3,-,-,0,662.8381,1.78,6.03E2,-,-,0,-,-,0,0:0:0:1.83:3.63:0:1.00:0:0,5.49E2,2.01E2,2.73:1.00,2.04,,
,0.04,4.67,419.8302,10.37 - 11.18,1,105.3,-,-,0,419.8311,10.50,5.76E2,419.8301,10.76,2.33E2,-,-,0,-,-,0,-,-,0,419.8293,11.16,1.38E2,-,-,0,-,-,0,0:4.16:1.68:0:0:0:1.00:0:0,1.35E2,4.61E1,2.92:1.00,10.81,,
,0.11,4.66,465.8567,5.18 - 7.06,1,156.3,465.8577,6.81,1.43E2,-,-,0,-,-,0,465.8561,5.74,2.26E2,465.8568,6.98,2.37E2,-,-,0,-,-,0,465.8564,5.72,5.67E2,465.8564,5.22,2.32E2,1.00:0:0:1.58:1.65:0:0:3.96:1.62,1.01E2,2.67E2,0.38:1.00,6.09,,
,0.07,4.66,756.7542,5.05 - 5.65,1,148.6,756.7559,5.59,3.62E2,-,-,0,756.7637,5.07,1.92E2,-,-,0,-,-,0,-,-,0,756.7429,5.35,2.46E2,756.7543,5.08,5.37E2,-,-,0,1.47:0:0.78:0:0:0:1.00:2.18:0,9.23E1,2.61E2,0.35:1.00,5.27,,
,0.06,4.66,940.7350,12.20 - 12.67,1,103.7,-,-,0,-,-,0,-,-,0,-,-,0,940.7354,12.65,3.96E2,-,-,0,-,-,0,940.7346,12.25,5.38E2,-,-,0,0:0:0:0:1.00:0:0:1.36:0,6.6E1,1.79E2,0.37:1.00,12.45,,
,0.51,4.66,578.7960,0.00 - 0.16,1,1.7E3,578.7957,0.05,1.16E3,-,-,0,578.7969,0.05,1.7E3,578.7958,0.04,1.32E3,578.7957,0.05,2.36E3,578.7961,0.05,1.87E3,578.7972,0.05,2.2E3,578.7947,0.14,2.21E3,578.7963,0.05,2.28E3,0.53:0:0.77:0.60:1.07:0.85:1.00:1.00:1.04,1.4E3,2.23E3,0.63:1.00,0.06,,
,0.30,4.66,370.8332,10.08 - 16.67,1,885.5,370.8336,16.30,5.53E2,370.8329,14.49,-,370.8331,16.49,8.98E2,-,-,-,370.8331,16.27,6.37E2,370.8327,16.22,5.95E2,370.8335,15.88,1.83E3,370.8329,16.42,9.57E2,370.8335,16.37,7.3E2,0.30:-:0.49:-:0.35:0.33:1.00:0.52:0.40,6.71E2,1.17E3,0.57:1.00,16.05,,
,0.06,4.66,776.8123,9.56 - 16.34,1,4.8E4,776.8106,14.78,9.47E4,776.8129,15.34,5.04E3,776.8126,14.56,7.78E4,776.8128,15.47,2.64E3,-,-,0,-,-,0,776.8113,16.21,2.08E3,776.8134,15.54,2.51E5,-,-,0,45.57:2.42:37.44:1.27:0:0:1.00:120.58:0,3E4,8.42E4,0.36:1.00,15.32,,
,0.36,4.66,429.8576,18.17 - 18.99,1,2.1E3,429.8572,18.25,6.33E2,-,-,-,429.8575,18.51,2.45E3,429.8565,18.62,5.13E3,429.8578,18.57,2.28E3,429.8575,18.44,2E3,429.8586,18.51,2.22E3,429.8582,18.23,1.27E3,429.8572,18.56,1.1E3,0.29:-:1.10:2.31:1.02:0.90:1.00:0.57:0.49,2.5E3,1.53E3,1.63:1.00,18.46,,
,0.05,4.66,760.7731,4.84 - 5.24,1,43.9,760.7748,5.19,1.64E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,760.7715,4.88,2.31E2,-,-,0,-,-,0,0.71:0:0:0:0:0:1.00:0:0,2.73E1,7.72E1,0.35:1.00,5.04,,
,0.19,4.66,590.8229,12.21 - 14.02,1,1.1E3,590.8218,12.96,6.36E2,-,-,0,590.8245,13.82,8.99E2,-,-,0,590.8219,13.48,1.08E3,590.8237,12.93,1.88E3,590.8234,12.30,3.06E3,590.8218,12.69,2.07E3,-,-,0,0.21:0:0.29:0:0.35:0.61:1.00:0.68:0,7.49E2,1.71E3,0.44:1.00,13.03,,
,0.06,4.66,441.8225,8.13 - 9.09,1,130.7,-,-,0,-,-,0,-,-,0,441.8216,8.86,2.93E2,-,-,0,441.8233,8.16,2.09E2,441.8234,9.05,1.97E2,-,-,0,441.8218,8.69,4.78E2,0:0:0:1.49:0:1.06:1.00:0:2.43,8.37E1,2.25E2,0.37:1.00,8.69,,
,0.02,4.66,683.7548,21.86 - 22.00,1,50.4,683.7522,21.90,1.82E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,683.7573,21.95,2.72E2,-,-,0,1.00:0:0:0:0:0:0:1.49:0,3.04E1,9.05E1,0.34:1.00,21.93,,
,0.06,4.66,586.8092,5.49 - 7.56,1,331.9,-,-,0,-,-,0,586.8097,5.59,4.32E2,586.8090,7.38,8.55E2,-,-,0,-,-,0,586.8093,7.34,1.48E3,586.8087,6.73,2.2E2,-,-,0,0:0:0.29:0.58:0:0:1.00:0.15:0,2.15E2,5.67E2,0.38:1.00,6.76,,
,0.08,4.66,531.2463,3.65 - 4.17,2,552.4,-,-,0,531.2458,4.01,3.73E3,531.2477,4.01,2.77E2,531.2446,3.99,1.95E2,-,-,0,-,-,0,531.2463,3.94,3.14E2,-,-,0,531.2469,3.90,4.55E2,0:11.90:0.88:0.62:0:0:1.00:0:1.45,7.01E2,2.56E2,2.74:1.00,3.97,,
,0.36,4.66,440.8185,5.42 - 7.20,1,989.6,440.8189,7.08,6.61E2,-,-,0,440.8188,6.39,2.48E2,440.8194,6.83,1.4E3,440.8176,6.23,1.25E3,440.8176,6.23,1.31E3,440.8180,5.84,1.18E3,440.8184,5.88,2.25E3,440.8189,5.48,6E2,0.56:0:0.21:1.19:1.06:1.12:1.00:1.92:0.51,8.13E2,1.34E3,0.61:1.00,6.24,,
,0.15,4.66,758.7566,9.34 - 10.52,1,382,-,-,0,758.7545,10.41,4.47E2,-,-,0,-,-,0,758.7612,9.59,7.33E2,758.7537,9.45,4.05E2,758.7533,9.62,6.54E2,758.7548,9.35,6.97E2,758.7620,10.00,5.02E2,0:0.68:0:0:1.12:0.62:1.00:1.07:0.77,2.64E2,6.17E2,0.43:1.00,9.74,,
,0.11,4.66,504.7911,21.07 - 21.83,1,277.6,-,-,0,504.7909,21.33,9.97E2,504.7902,21.71,5.83E2,504.7910,21.56,2.1E2,-,-,0,504.7909,21.59,3.01E2,-,-,0,-,-,0,504.7922,21.08,4.08E2,0:1.00:0.59:0.21:0:0.30:0:0:0.41,3.48E2,1.36E2,2.56:1.00,21.46,,
,0.42,4.66,574.7965,5.04 - 5.83,1,1.1E3,574.7984,5.63,1.97E3,574.7972,5.47,2.04E2,574.7955,5.23,4.23E2,574.7955,5.17,9.95E2,574.7972,5.28,7.02E2,574.7956,5.33,1.15E3,574.7970,5.37,1.81E3,574.7952,5.15,1.75E3,574.7968,5.13,5.89E2,1.09:0.11:0.23:0.55:0.39:0.64:1.00:0.97:0.33,9.08E2,1.38E3,0.66:1.00,5.31,,
,0.30,4.66,740.7795,7.57 - 8.72,1,832.3,740.7726,7.75,6.53E2,740.7835,8.08,4.82E2,740.7766,8.21,6.92E2,-,-,-,740.7820,8.68,9E2,740.7822,7.61,5.29E2,740.7781,7.92,9.28E2,740.7822,7.73,1.73E3,740.7788,7.75,7.46E2,0.70:0.52:0.75:-:0.97:0.57:1.00:1.86:0.80,6.51E2,1.13E3,0.57:1.00,7.97,,
,0.10,4.66,1173.7589,7.92 - 9.10,1,3.4E4,-,-,0,1173.7566,8.81,4.19E4,1173.7593,8.92,7.13E4,1173.7576,8.80,1.89E4,-,-,0,-,-,0,-,-,0,1173.7617,8.84,7.21E3,1173.7593,8.94,1.62E5,0:1.00:1.70:0.45:0:0:0:0.17:3.88,2.2E4,5.65E4,0.39:1.00,8.86,,
,0.10,4.66,642.7827,5.26 - 6.22,1,624.4,-,-,0,-,-,0,642.7858,5.81,6.09E2,642.7838,5.48,1.3E3,642.7803,5.93,1.32E3,642.7830,5.50,1.48E3,642.7806,6.10,9.07E2,-,-,0,-,-,0,0:0:0.67:1.43:1.46:1.63:1.00:0:0,7.85E2,3.02E2,2.60:1.00,5.77,,
,0.23,4.66,905.8020,20.11 - 20.25,2,2.1E3,905.8046,20.19,1.38E3,-,-,0,905.7999,20.21,3.51E3,905.7999,20.21,1.19E3,-,-,0,905.8018,20.22,3.1E3,905.8027,20.21,2.64E3,905.8033,20.17,6.97E3,-,-,0,0.52:0:1.33:0.45:0:1.17:1.00:2.64:0,1.53E3,3.21E3,0.48:1.00,20.20,,
,0.40,4.66,576.7921,10.11 - 11.68,1,1.3E3,576.7921,10.90,6.62E2,576.7950,10.64,6.52E2,576.7888,11.38,1.74E3,576.7919,11.29,9.09E2,576.7923,10.91,1.29E3,576.7930,11.48,1.44E3,576.7910,10.58,6.21E2,576.7920,10.37,1.76E3,576.7928,10.39,3.03E3,1.07:1.05:2.80:1.46:2.07:2.31:1.00:2.83:4.87,1.11E3,1.8E3,0.62:1.00,10.88,,
,0.07,4.66,720.8659,17.41 - 18.81,1,264.7,-,-,0,-,-,0,-,-,0,720.8661,17.91,5.01E2,-,-,0,720.8710,17.53,4.91E2,720.8596,17.45,4.2E2,720.8669,18.78,9.71E2,-,-,0,0:0:0:1.19:0:1.17:1.00:2.31:0,1.65E2,4.64E2,0.36:1.00,17.92,,
,0.10,4.65,604.8711,21.19 - 22.00,1,262.3,604.8696,21.84,8.97E2,-,-,0,-,-,0,-,-,0,604.8706,21.48,5.26E2,604.8730,21.30,5.57E2,604.8713,21.55,3.8E2,-,-,0,-,-,0,2.36:0:0:0:1.38:1.46:1.00:0:0,3.3E2,1.27E2,2.60:1.00,21.54,,
,0.27,4.65,614.8339,11.81 - 13.37,1,643.7,-,-,-,614.8312,13.32,4.36E2,614.8323,13.18,6.36E2,614.8295,12.14,3.93E2,614.8365,12.53,4.75E2,614.8302,12.57,5.02E2,614.8373,12.62,6.45E2,614.8342,11.93,1.73E3,614.8400,12.42,3.34E2,-:0.68:0.99:0.61:0.74:0.78:1.00:2.68:0.52,4.88E2,9.03E2,0.54:1.00,12.59,,
,0.09,4.65,480.7945,2.59 - 3.54,2,842.2,-,-,0,-,-,0,-,-,0,480.7949,2.78,4.24E2,-,-,0,480.7938,2.95,2.88E3,480.7946,2.94,3.74E3,-,-,0,480.7948,2.87,5.32E2,0:0:0:0.11:0:0.77:1.00:0:0.14,5.51E2,1.42E3,0.39:1.00,2.89,,
,0.35,4.65,580.7924,6.78 - 8.79,1,1.3E3,580.7930,8.19,1.25E3,580.7924,8.22,1.36E3,-,-,-,580.7911,8.53,2.82E2,580.7903,8.60,1.33E3,580.7930,8.26,9.38E2,580.7925,8.02,7.08E2,580.7931,7.38,3.2E3,580.7938,6.89,1.03E3,1.77:1.92:-:0.40:1.87:1.32:1.00:4.52:1.45,1.03E3,1.65E3,0.63:1.00,8.01,,
,0.07,4.65,630.8103,13.95 - 14.90,1,414.4,-,-,0,630.8103,14.69,8.06E2,-,-,0,630.8101,14.01,7.48E2,-,-,0,-,-,0,-,-,0,630.8101,14.82,1.44E3,630.8109,14.73,7.37E2,0:1.00:0:0.93:0:0:0:1.78:0.91,2.59E2,7.25E2,0.36:1.00,14.56,,
,0.23,4.65,710.7672,15.34 - 17.04,1,1.6E3,-,-,0,710.7692,16.49,2.41E3,710.7664,15.41,8.16E2,710.7658,15.56,1.08E3,-,-,0,710.7662,15.58,2.61E3,710.7677,15.78,2.79E3,710.7683,15.66,2.28E3,710.7671,15.76,2.24E3,0:0.86:0.29:0.39:0:0.93:1.00:0.82:0.80,1.15E3,2.44E3,0.47:1.00,15.75,,
,0.09,4.65,672.8570,7.50 - 18.44,1,5.2E5,672.8574,13.44,3.82E5,-,-,0,-,-,0,-,-,0,672.8583,12.64,8.55E5,672.8567,12.55,7.82E5,672.8572,13.12,5.78E5,672.8563,12.50,1.08E6,672.8563,13.03,1.03E6,0.66:0:0:0:1.48:1.35:1.00:1.87:1.78,3.36E5,8.94E5,0.38:1.00,12.88,,
,0.00,4.65,701.8088,9.53 - 16.21,1,1E3,-,-,0,701.8093,11.21,7.93E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,701.8082,9.53,1.31E3,-,-,0,0:1.00:0:0:0:0:0:0.17:0,1.32E3,4.36E2,3.03:1.00,10.37,,
,0.09,4.65,474.8522,2.17 - 9.05,1,8.6E4,-,-,0,-,-,0,474.8518,3.41,-,-,-,0,474.8528,4.05,1.38E5,474.8514,3.80,1.34E5,474.8517,3.58,1.67E5,474.8530,3.41,2.5E5,-,-,0,0:0:-:0:0.82:0.80:1.00:1.50:0,5.44E4,1.39E5,0.39:1.00,3.65,,
,0.01,4.65,358.8423,4.98 - 5.54,3,169.6,-,-,0,-,-,0,358.8424,5.25,6.11E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,358.8421,5.12,9.16E2,0:0:1.00:0:0:0:0:0:1.50,1.02E2,3.05E2,0.33:1.00,5.18,,
,0.20,4.65,537.8252,1.27 - 3.19,1,628.3,-,-,0,-,-,0,537.8240,2.33,8.83E2,537.8255,1.42,8.33E2,537.8271,2.18,5.72E2,537.8235,1.54,3.77E2,537.8257,2.39,1.01E3,-,-,0,537.8254,1.62,1.98E3,0:0:0.87:0.82:0.57:0.37:1.00:0:1.96,4.44E2,9.97E2,0.45:1.00,1.91,,
,0.22,4.65,778.7473,17.15 - 18.15,1,870.7,778.7448,17.77,8.73E2,778.7482,18.05,9.72E2,-,-,0,778.7471,17.21,1.11E3,-,-,0,778.7502,17.78,8.87E2,778.7474,17.55,8.28E2,778.7461,17.72,2.12E3,778.7471,17.53,1.05E3,1.05:1.17:0:1.34:0:1.07:1.00:2.56:1.27,6.4E2,1.33E3,0.48:1.00,17.66,,
,0.06,4.65,759.7670,9.71 - 10.43,1,164.2,-,-,0,-,-,0,-,-,0,-,-,0,759.7660,9.75,3.3E2,759.7708,10.05,2.95E2,759.7653,10.05,4.88E2,-,-,0,759.7661,10.40,3.64E2,0:0:0:0:0.68:0.60:1.00:0:0.75,1.04E2,2.84E2,0.37:1.00,10.06,,
,0.30,4.65,344.8194,11.27 - 13.38,3,316.1,344.8191,12.37,3.49E2,344.8205,13.22,1.05E2,344.8194,12.73,2.39E2,-,-,-,344.8193,13.35,2.33E2,344.8200,12.18,3.2E2,344.8184,11.95,2.95E2,344.8192,11.39,6.59E2,344.8192,12.14,3.28E2,1.18:0.36:0.81:-:0.79:1.09:1.00:2.24:1.11,2.49E2,4.27E2,0.58:1.00,12.42,,
,0.01,4.64,580.7932,10.99 - 11.19,1,85.8,-,-,0,-,-,0,-,-,0,580.7931,11.13,3.11E2,-,-,0,-,-,0,580.7932,11.01,4.61E2,-,-,0,-,-,0,0:0:0:0.68:0:0:1.00:0:0,5.19E1,1.54E2,0.34:1.00,11.07,,
,0.38,4.64,411.8803,5.16 - 10.79,1,4.1E3,411.8803,6.89,2.9E3,411.8804,7.29,9.3E2,411.8793,6.45,2.24E3,411.8804,5.44,4.57E3,411.8806,5.79,5.72E3,411.8804,6.74,5.21E3,411.8805,5.58,4.34E3,-,-,-,411.8803,5.63,7.09E3,0.67:0.21:0.52:1.05:1.32:1.20:1.00:-:1.63,3.59E3,5.72E3,0.63:1.00,6.23,,
,0.38,4.64,642.7710,18.69 - 20.11,1,6.2E3,642.7717,19.93,5.05E3,642.7717,19.74,3.18E3,642.7706,19.60,6.61E3,642.7709,19.16,1.78E4,642.7695,20.01,1.95E3,642.7706,19.81,6.16E3,642.7710,19.99,2.52E3,-,-,-,642.7719,19.95,6.01E3,2.01:1.27:2.63:7.08:0.78:2.45:1.00:-:2.39,6.8E3,4.26E3,1.59:1.00,19.77,,
,0.46,4.64,778.7481,17.36 - 18.10,1,1.6E3,778.7487,17.47,1.63E3,778.7480,17.59,1.51E3,778.7498,17.51,1.07E3,778.7484,17.91,1.47E3,778.7470,17.45,5.5E2,778.7471,18.02,1.66E3,778.7488,17.42,1.83E3,778.7485,17.82,2.42E3,778.7465,18.01,2.19E3,0.89:0.82:0.58:0.80:0.30:0.91:1.00:1.32:1.19,1.32E3,2.15E3,0.61:1.00,17.69,,
,0.04,4.64,769.7318,9.08 - 9.18,1,49.2,769.7358,9.10,1.8E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,769.7278,9.15,2.63E2,-,-,0,-,-,0,0.68:0:0:0:0:0:1.00:0:0,2.99E1,8.76E1,0.34:1.00,9.13,,
,0.43,4.64,876.8211,17.21 - 18.02,1,2.4E3,876.8201,17.58,1.23E3,876.8196,17.43,1.25E3,876.8181,17.34,2.17E3,876.8233,17.94,3.33E3,876.8221,17.59,2.5E3,876.8223,17.81,1.77E3,876.8210,17.62,2.19E3,876.8224,17.30,4.35E3,876.8209,17.74,2.81E3,0.56:0.57:0.99:1.52:1.14:0.81:1.00:1.98:1.28,2.04E3,3.12E3,0.66:1.00,17.60,,
,0.00,4.64,740.7159,20.58 - 20.81,1,51.2,-,-,0,-,-,0,740.7117,20.73,1.86E2,-,-,0,-,-,0,-,-,0,740.7201,20.62,2.74E2,-,-,0,-,-,0,0:0:0.68:0:0:0:1.00:0:0,3.11E1,9.14E1,0.34:1.00,20.68,,
