Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,ORP10_C00_neg m/z,ORP10_C00_neg RT mean,ORP10_C00_neg Normalized Area,ORP10_C07_neg m/z,ORP10_C07_neg RT mean,ORP10_C07_neg Normalized Area,ORP10_C08_neg m/z,ORP10_C08_neg RT mean,ORP10_C08_neg Normalized Area,ORP10_C09_neg m/z,ORP10_C09_neg RT mean,ORP10_C09_neg Normalized Area,ORP10_C10_neg m/z,ORP10_C10_neg RT mean,ORP10_C10_neg Normalized Area,ORP10_C11_neg m/z,ORP10_C11_neg RT mean,ORP10_C11_neg Normalized Area,ORP10_C04_neg m/z,ORP10_C04_neg RT mean,ORP10_C04_neg Normalized Area,ORP10_C05_neg m/z,ORP10_C05_neg RT mean,ORP10_C05_neg Normalized Area,ORP10_C06_neg m/z,ORP10_C06_neg RT mean,ORP10_C06_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.01,8.25,454.8511,9.67 - 10.02,1,101.7,-,-,0,454.8511,9.85,9.15E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.53E2,0,1.00:0,9.85,,
,0.01,4.01,756.8342,10.75 - 11.35,1,173.2,756.8337,10.83,7.77E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,756.8347,11.26,7.82E2,-,-,0,-,-,0,1.00:0:0:0:0:0:1.01:0:0,1.29E2,2.61E2,0.50:1.00,11.05,,
,0.01,8.25,444.2838,4.16 - 4.33,1,87.3,-,-,0,-,-,0,-,-,0,444.2838,4.24,7.86E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.31E2,0,1.00:0,4.24,,
,0.01,8.25,754.7844,19.97 - 20.09,2,64.3,754.7867,20.02,2.25E2,754.7821,20.03,3.53E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:1.56:0:0:0:0:0:0:0,9.64E1,0,1.00:0,20.02,,
,0.01,6.00,454.8092,9.94 - 10.27,1,61.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,454.8091,9.97,1.38E2,454.8092,10.20,4.13E2,-,-,0,-,-,0,0:0:0:0:0:1.00:3.00:0:0,2.29E1,1.38E2,0.17:1.00,10.09,,
,0.01,8.25,580.7974,6.26 - 6.57,1,61.6,580.7957,6.54,2.11E2,580.7991,6.32,3.43E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:1.62:0:0:0:0:0:0:0,9.24E1,0,1.00:0,6.43,,
,0.01,6.29,898.7562,11.20 - 12.66,1,532.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,898.7516,11.37,1.08E3,-,-,0,898.7608,12.19,3.72E3,-,-,0,0:0:0:0:0:0.29:0:1.00:0,1.8E2,1.24E3,0.14:1.00,11.78,,
,0.01,8.25,658.8163,19.96 - 20.13,1,87.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,658.8163,20.05,7.84E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.61E2,0:1.00,20.05,,
,0.01,3.74,1130.7604,20.07 - 20.23,1,1.5E3,1130.7600,20.18,1.01E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1130.7607,20.17,2.98E3,1.00:0:0:0:0:0:0:0:0.30,1.68E3,9.95E2,1.69:1.00,20.18,,
,0.01,8.25,484.8840,6.96 - 7.60,1,148.2,484.8834,7.07,1E3,-,-,0,-,-,0,-,-,0,-,-,0,484.8846,7.51,3.29E2,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0.33:0:0:0,2.22E2,0,1.00:0,7.29,,
,0.01,8.25,328.9041,8.05 - 8.32,3,50,328.9044,8.09,2.54E2,328.9038,8.21,1.95E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0.77:0:0:0:0:0:0:0,7.49E1,0,1.00:0,8.15,,
,0.01,3.13,794.7405,11.57 - 12.36,1,120.1,794.7418,11.67,7.44E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,794.7393,12.28,3.37E2,-,-,0,2.21:0:0:0:0:0:0:1.00:0,1.24E2,1.12E2,1.10:1.00,11.98,,
,0.01,8.25,274.0219,7.97 - 8.76,1,80.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,274.0219,8.25,7.25E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,1.21E2,0,1.00:0,8.25,,
,0.01,8.25,801.8246,19.68 - 19.95,1,178.7,801.8246,19.79,1.61E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,2.68E2,0,1.00:0,19.79,,
,0.01,5.07,596.8396,6.60 - 7.79,1,269.2,596.8403,6.69,8.47E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,596.8389,7.00,1.58E3,-,-,0,-,-,0,1.00:0:0:0:0:0:1.86:0:0,1.41E2,5.25E2,0.27:1.00,6.85,,
,0.01,8.25,634.7506,17.16 - 17.60,1,197,-,-,0,634.7523,17.28,9.92E2,-,-,0,-,-,0,634.7490,17.40,7.81E2,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0.79:0:0:0:0,2.95E2,0,1.00:0,17.34,,
,0.01,6.42,859.7821,6.24 - 7.17,1,65.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,859.7857,6.28,1.27E2,859.7786,7.12,4.65E2,-,-,0,-,-,0,0:0:0:0:0:1.00:3.66:0:0,2.12E1,1.55E2,0.14:1.00,6.70,,
,0.01,8.25,1402.3838,20.14 - 20.20,3,166.3,-,-,0,1402.3838,20.19,1.5E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.49E2,0,1.00:0,20.19,,
,0.01,6.88,624.8624,14.28 - 18.00,1,2.5E3,-,-,0,624.8618,15.38,4.09E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,624.8630,14.31,1.85E4,-,-,0,0:0.22:0:0:0:0:0:1.00:0,6.81E2,6.15E3,0.11:1.00,14.85,,
,0.01,5.78,733.8330,16.39 - 20.20,1,287.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,733.8346,16.93,7.01E2,733.8314,16.43,1.88E3,-,-,0,-,-,0,0:0:0:0:0:1.00:2.69:0:0,1.17E2,6.28E2,0.19:1.00,16.68,,
,0.01,8.25,759.7607,19.64 - 20.09,1,148.9,759.7584,19.67,3.69E2,759.7630,19.96,9.72E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:2.64:0:0:0:0:0:0:0,2.23E2,0,1.00:0,19.81,,
,0.01,8.25,760.8354,15.85 - 16.52,1,177.7,760.8348,16.30,1.28E3,-,-,0,-,-,0,-,-,0,-,-,0,760.8359,15.92,3.21E2,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0.25:0:0:0,2.67E2,0,1.00:0,16.11,,
,0.01,6.59,464.8248,2.69 - 3.64,2,69.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,464.8254,2.72,1.27E2,-,-,0,464.8242,3.58,5.02E2,-,-,0,0:0:0:0:0:0.25:0:1.00:0,2.12E1,1.67E2,0.13:1.00,3.15,,
,0.01,8.25,641.8453,12.86 - 13.46,1,128.2,641.8453,13.32,6.94E2,-,-,0,-,-,0,-,-,0,641.8452,12.95,4.6E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0.66:0:0:0:0,1.92E2,0,1.00:0,13.14,,
,0.01,8.25,250.1452,0.49 - 8.07,1,2.8E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,250.1452,3.07,2.49E5,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,8.3E4,0:1.00,3.07,,
,0.01,4.25,508.8082,5.53 - 11.43,1,1.5E4,-,-,0,-,-,0,-,-,0,-,-,0,508.8077,6.38,6.28E4,-,-,0,-,-,0,508.8086,6.43,7.34E4,-,-,0,0:0:0:0:0.86:0:0:1.00:0,1.05E4,2.45E4,0.43:1.00,6.41,,
,0.01,3.17,670.7851,6.28 - 7.61,1,147.8,670.7825,6.45,8.49E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,670.7877,7.56,4.81E2,-,-,0,-,-,0,1.00:0:0:0:0:0:0.57:0:0,1.41E2,1.6E2,0.88:1.00,7.01,,
,0.01,8.25,486.8058,8.79 - 9.30,1,42.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,486.8071,9.27,2.25E2,486.8045,8.84,1.56E2,-,-,0,0:0:0:0:0:0:1.44:1.00:0,0,1.27E2,0:1.00,9.05,,
,0.01,8.25,671.3238,19.38 - 19.82,1,43.4,671.3259,19.40,1.92E2,-,-,0,-,-,0,-,-,0,-,-,0,671.3217,19.70,1.99E2,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:1.04:0:0:0,6.51E1,0,1.00:0,19.55,,
,0.01,4.24,308.9076,16.86 - 17.61,1,40.5,-,-,0,308.9084,16.90,1.69E2,-,-,0,-,-,0,-,-,0,-,-,0,308.9067,17.60,1.95E2,-,-,0,-,-,0,0:1.00:0:0:0:0:1.16:0:0,2.81E1,6.52E1,0.43:1.00,17.25,,
,0.01,8.25,1099.7572,20.13 - 20.22,1,110.5,-,-,0,-,-,0,1099.7572,20.22,9.94E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.66E2,0,1.00:0,20.22,,
,0.01,8.25,680.8544,17.30 - 18.22,1,254.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,680.8561,17.37,6.47E2,680.8528,18.06,1.64E3,-,-,0,0:0:0:0:0:0:0.39:1.00:0,0,7.63E2,0:1.00,17.72,,
,0.01,3.73,869.8031,11.70 - 11.98,1,63.7,-,-,0,869.7991,11.73,3.11E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,869.8071,11.96,2.62E2,-,-,0,0:1.19:0:0:0:0:0:1.00:0,5.19E1,8.73E1,0.59:1.00,11.85,,
,0.01,8.25,656.8167,15.83 - 16.91,1,81.1,656.8182,15.87,4.78E2,-,-,0,-,-,0,-,-,0,-,-,0,656.8151,16.82,2.52E2,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0.53:0:0:0,1.22E2,0,1.00:0,16.35,,
,0.01,8.25,432.7922,1.11 - 1.64,1,177,-,-,0,-,-,0,-,-,0,432.7921,1.34,1.13E3,-,-,0,432.7922,1.46,4.63E2,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0.41:0:0:0,2.65E2,0,1.00:0,1.40,,
,0.01,4.32,491.7517,18.28 - 18.78,2,129.8,-,-,0,491.7513,18.44,9.69E2,-,-,0,-,-,0,-,-,0,-,-,0,491.7521,18.74,2E2,-,-,0,-,-,0,0:1.00:0:0:0:0:0.21:0:0,1.61E2,6.65E1,2.43:1.00,18.59,,
,0.01,4.79,554.7957,10.77 - 12.39,1,202.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,554.7975,10.89,7.02E2,554.7939,12.30,1.12E3,-,-,0,-,-,0,0:0:0:0:0:1.00:1.60:0:0,1.17E2,3.73E2,0.31:1.00,11.60,,
,0.01,5.54,640.8000,19.40 - 20.01,1,53,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,640.7994,19.99,1.41E2,-,-,0,640.8007,19.45,3.36E2,-,-,0,0:0:0:0:0:0.42:0:1.00:0,2.35E1,1.12E2,0.21:1.00,19.72,,
,0.01,8.25,573.8578,8.33 - 9.20,3,65.8,573.8570,9.19,4.32E2,573.8586,8.37,1.6E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0.37:0:0:0:0:0:0:0,9.88E1,0,1.00:0,8.78,,
,0.01,8.25,1077.7744,20.11 - 20.20,1,169.6,-,-,0,1077.7744,20.19,1.53E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.54E2,0,1.00:0,20.19,,
,0.01,3.23,634.8246,5.46 - 5.57,1,62.5,-,-,0,634.8226,5.52,3.53E2,-,-,0,-,-,0,-,-,0,-,-,0,634.8265,5.51,2.1E2,-,-,0,-,-,0,0:1.00:0:0:0:0:0.59:0:0,5.88E1,6.99E1,0.84:1.00,5.52,,
,0.01,8.22,555.8069,6.35 - 6.54,1,93.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,555.8069,6.39,8.4E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.8E2,0:1.00,6.39,,
,0.01,3.36,804.7674,9.37 - 11.10,1,395.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,804.7676,9.51,2.57E3,804.7672,10.96,9.84E2,-,-,0,-,-,0,0:0:0:0:0:1.00:0.38:0:0,4.29E2,3.28E2,1.31:1.00,10.24,,
,0.01,8.22,578.7956,5.32 - 6.07,1,91.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,578.7972,5.93,5.47E2,578.7939,5.35,2.76E2,-,-,0,0:0:0:0:0:0:1.98:1.00:0,0,2.74E2,0:1.00,5.64,,
,0.01,6.48,670.8206,16.63 - 16.75,1,61.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,670.8188,16.65,1.15E2,670.8224,16.69,4.38E2,-,-,0,-,-,0,0:0:0:0:0:1.00:3.80:0:0,1.92E1,1.46E2,0.13:1.00,16.67,,
,0.01,8.22,753.3179,19.11 - 19.41,1,161,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,753.3179,19.40,1.45E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,4.83E2,0:1.00,19.40,,
,0.01,8.22,740.7890,6.59 - 8.56,1,178.3,740.7908,7.97,1.37E3,-,-,0,-,-,0,-,-,0,-,-,0,740.7871,6.67,2.36E2,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0.17:0:0:0,2.67E2,0,1.00:0,7.32,,
,0.01,8.22,632.8168,16.76 - 17.15,1,116.7,632.8176,17.13,1.98E2,632.8160,16.90,8.52E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:4.29:0:0:0:0:0:0:0,1.75E2,0,1.00:0,17.02,,
,0.01,8.22,746.8361,20.03 - 20.20,1,158.4,-,-,0,-,-,0,746.8318,20.14,7.37E2,-,-,0,-,-,0,746.8403,20.15,6.89E2,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0.94:0:0:0,2.38E2,0,1.00:0,20.14,,
,0.01,4.82,670.8231,18.55 - 18.69,1,117.6,670.8241,18.61,4.02E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,670.8221,18.58,6.57E2,-,-,0,0.61:0:0:0:0:0:0:1.00:0,6.7E1,2.19E2,0.31:1.00,18.60,,
,0.01,5.14,328.8618,8.99 - 9.80,3,30.3,-,-,0,328.8614,9.02,9.24E1,-,-,0,-,-,0,-,-,0,-,-,0,328.8622,9.74,1.8E2,-,-,0,-,-,0,0:1.00:0:0:0:0:1.95:0:0,1.54E1,6.01E1,0.26:1.00,9.38,,
,0.01,8.18,814.7893,10.32 - 10.83,1,300.3,-,-,0,814.7893,10.49,2.7E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.5E2,0,1.00:0,10.49,,
,0.01,8.18,555.8093,7.88 - 8.00,1,63.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,555.8093,7.91,5.76E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.92E2,0:1.00,7.91,,
,0.01,8.18,779.8222,13.51 - 13.68,1,87.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,779.8222,13.60,7.85E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.62E2,0:1.00,13.60,,
,0.01,5.75,726.8011,10.87 - 12.23,1,234,726.8010,10.95,5.69E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,726.8011,12.08,1.54E3,-,-,0,-,-,0,1.00:0:0:0:0:0:2.70:0:0,9.49E1,5.12E2,0.19:1.00,11.51,,
,0.01,8.18,1494.6875,20.14 - 20.22,1,213.7,-,-,0,-,-,0,-,-,0,1494.6875,20.20,1.92E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,3.21E2,0,1.00:0,20.20,,
,0.01,8.18,621.8611,19.07 - 20.24,1,488.4,-,-,0,621.8612,19.15,8.42E2,-,-,0,-,-,0,621.8610,20.05,3.55E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:4.22:0:0:0:0,7.33E2,0,1.00:0,19.60,,
,0.01,8.18,784.7620,10.50 - 10.57,1,70.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,784.7620,10.54,6.38E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.13E2,0:1.00,10.54,,
,0.01,6.82,534.8086,10.03 - 12.71,1,75.2,-,-,0,534.8081,10.06,1.23E2,-,-,0,-,-,0,-,-,0,-,-,0,534.8090,12.65,5.54E2,-,-,0,-,-,0,0:1.00:0:0:0:0:4.50:0:0,2.05E1,1.85E2,0.11:1.00,11.35,,
,0.01,8.18,1314.7400,20.14 - 20.20,1,101.1,-,-,0,1314.7400,20.16,9.09E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.52E2,0,1.00:0,20.16,,
,0.01,8.18,529.3168,3.87 - 4.26,1,196.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,529.3168,3.92,1.77E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,5.91E2,0:1.00,3.92,,
,0.01,8.18,1215.7330,20.13 - 20.22,1,857.1,1215.7407,20.20,5.25E3,-,-,0,-,-,0,-,-,0,-,-,0,1215.7253,20.13,2.46E3,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0.47:0:0:0,1.29E3,0,1.00:0,20.17,,
,0.01,4.63,602.7979,10.50 - 11.65,1,76.3,-,-,0,602.7979,10.55,2.77E2,-,-,0,-,-,0,-,-,0,-,-,0,602.7980,11.64,4.1E2,-,-,0,-,-,0,0:1.00:0:0:0:0:1.48:0:0,4.61E1,1.37E2,0.34:1.00,11.10,,
,0.01,8.18,607.3156,19.39 - 19.65,1,66.2,-,-,0,607.3156,19.52,5.95E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,9.92E1,0,1.00:0,19.52,,
,0.01,8.18,418.8171,12.58 - 13.07,8,114.9,-,-,0,418.8167,12.58,4.7E2,-,-,0,-,-,0,-,-,0,418.8176,12.71,5.64E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:1.20:0:0:0,1.72E2,0,1.00:0,12.65,,
,0.01,8.14,784.7654,10.93 - 10.99,1,61.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,784.7654,10.96,5.56E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.85E2,0:1.00,10.96,,
,0.01,8.14,797.6880,20.43 - 20.60,1,33.2,797.6912,20.45,2.11E2,-,-,0,-,-,0,-,-,0,-,-,0,797.6848,20.60,8.7E1,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0.41:0:0:0,4.97E1,0,1.00:0,20.53,,
,0.01,8.14,1257.4053,20.13 - 20.22,3,155.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1257.4053,20.19,1.4E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,4.66E2,0:1.00,20.19,,
,0.01,8.14,671.7999,10.35 - 10.51,1,68.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,671.7999,10.43,6.14E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.05E2,0:1.00,10.43,,
,0.01,8.14,913.2576,19.48 - 20.06,2,122.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,913.2572,19.51,6.19E2,913.2580,20.05,4.81E2,-,-,0,0:0:0:0:0:0:1.29:1.00:0,0,3.67E2,0:1.00,19.78,,
,0.01,8.14,555.8048,6.13 - 6.28,1,59.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,555.8048,6.20,5.37E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.79E2,0:1.00,6.20,,
,0.01,5.37,641.7990,19.69 - 19.88,2,27.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,641.7988,19.83,7.57E1,-,-,0,641.7992,19.71,1.69E2,-,-,0,0:0:0:0:0:0.45:0:1.00:0,1.26E1,5.64E1,0.22:1.00,19.77,,
,0.01,3.44,632.7549,8.55 - 15.84,1,7E3,632.7559,9.38,3.08E4,632.7529,8.60,-,-,-,0,-,-,0,-,-,0,-,-,0,632.7560,10.84,2.55E4,-,-,0,-,-,0,1.00:-:0:0:0:0:0.83:0:0,6.16E3,8.5E3,0.72:1.00,9.61,,
,0.01,8.11,494.8374,1.21 - 1.41,1,69,-,-,0,494.8374,1.30,6.21E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.04E2,0,1.00:0,1.30,,
,0.01,8.11,716.7729,5.15 - 5.27,1,85.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,716.7729,5.21,7.73E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.58E2,0:1.00,5.21,,
,0.01,8.11,572.7815,20.99 - 21.94,1,98.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,572.7816,21.10,4.72E2,572.7815,21.91,4.13E2,-,-,0,0:0:0:0:0:0:1.14:1.00:0,0,2.95E2,0:1.00,21.50,,
,0.01,3.06,1364.7135,20.12 - 20.22,1,660.6,-,-,0,1364.7075,20.18,4.02E3,-,-,0,-,-,0,-,-,0,-,-,0,1364.7195,20.17,1.93E3,-,-,0,-,-,0,0:1.00:0:0:0:0:0.48:0:0,6.7E2,6.42E2,1.04:1.00,20.17,,
,0.01,4.40,593.7858,10.96 - 11.39,1,37.6,593.7852,11.36,1.47E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,593.7864,10.99,1.91E2,-,-,0,0.77:0:0:0:0:0:0:1.00:0,2.45E1,6.38E1,0.38:1.00,11.18,,
,0.01,8.11,310.8826,9.24 - 10.16,3,144.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,310.8826,10.05,5.04E2,310.8826,9.35,8E2,-,-,0,0:0:0:0:0:0:0.63:1.00:0,0,4.35E2,0:1.00,9.70,,
,0.01,8.11,675.8369,18.09 - 18.17,1,57.5,675.8369,18.13,5.17E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,8.62E1,0,1.00:0,18.13,,
,0.01,8.11,710.8330,3.71 - 4.50,1,83.8,710.8330,4.43,5.75E2,-,-,0,-,-,0,-,-,0,-,-,0,710.8331,3.73,1.79E2,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0.31:0:0:0,1.26E2,0,1.00:0,4.08,,
,0.01,3.97,411.8815,1.98 - 3.14,1,132.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,411.8810,2.07,5.97E2,-,-,0,-,-,0,411.8820,2.98,5.94E2,0:0:0:0:0:1.00:0:0:0.99,9.95E1,1.98E2,0.50:1.00,2.52,,
,0.01,8.11,834.7676,12.36 - 13.50,1,417.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,834.7676,12.44,3.76E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.25E3,0:1.00,12.44,,
,0.01,8.11,510.8092,0.80 - 1.69,1,392.1,510.8099,1.38,2.99E3,-,-,0,-,-,0,-,-,0,510.8085,0.86,5.37E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0.18:0:0:0:0,5.88E2,0,1.00:0,1.12,,
,0.01,4.94,577.8000,9.77 - 11.75,1,141.5,-,-,0,577.7995,9.88,4.58E2,-,-,0,-,-,0,-,-,0,-,-,0,577.8004,11.64,8.15E2,-,-,0,-,-,0,0:1.00:0:0:0:0:1.78:0:0,7.63E1,2.72E2,0.28:1.00,10.76,,
,0.01,8.08,395.8939,21.40 - 21.56,1,83.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,395.8939,21.48,7.52E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.51E2,0:1.00,21.48,,
,0.01,4.81,982.7162,18.81 - 19.05,1,168.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,982.7134,18.96,5.68E2,982.7189,18.88,9.48E2,-,-,0,-,-,0,0:0:0:0:0:1.00:1.67:0:0,9.46E1,3.16E2,0.30:1.00,18.92,,
,0.01,6.99,396.8380,5.69 - 6.18,2,215.8,-,-,0,-,-,0,-,-,0,-,-,0,396.8384,5.77,3.24E2,-,-,0,-,-,0,396.8376,5.96,1.62E3,-,-,0,0:0:0:0:0.20:0:0:1.00:0,5.4E1,5.4E2,0.10:1.00,5.87,,
,0.01,8.08,779.8232,13.00 - 13.13,1,83.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,779.8232,13.07,7.53E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.51E2,0:1.00,13.07,,
,0.01,5.43,273.8819,8.45 - 8.95,1,14.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,273.8810,8.49,4.01E1,-,-,0,273.8827,8.92,9.37E1,-,-,0,0:0:0:0:0:0.43:0:1.00:0,6.68E0,3.12E1,0.21:1.00,8.70,,
,0.01,8.08,531.3344,3.34 - 3.66,1,105.3,531.3344,3.40,9.47E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,1.58E2,0,1.00:0,3.40,,
,0.01,8.08,464.8249,12.47 - 13.27,1,426.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,464.8249,12.68,3.84E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.28E3,0:1.00,12.68,,
,0.01,4.44,410.8656,0.00 - 1.72,1,426.1,-,-,0,-,-,0,410.8661,0.05,1.64E3,-,-,0,-,-,0,-,-,0,410.8651,1.26,2.19E3,-,-,0,-,-,0,0:0:1.00:0:0:0:1.34:0:0,2.73E2,7.31E2,0.37:1.00,0.65,,
,0.01,8.08,302.8998,4.88 - 5.18,1,56.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,302.8998,5.01,5.06E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,1.69E2,0:1.00,5.01,,
