Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,CLVS2_C00_neg m/z,CLVS2_C00_neg RT mean,CLVS2_C00_neg Normalized Area,CLVS2_C04_neg m/z,CLVS2_C04_neg RT mean,CLVS2_C04_neg Normalized Area,CLVS2_C05_neg m/z,CLVS2_C05_neg RT mean,CLVS2_C05_neg Normalized Area,CLVS2_C06_neg m/z,CLVS2_C06_neg RT mean,CLVS2_C06_neg Normalized Area,CLVS2_C07_neg m/z,CLVS2_C07_neg RT mean,CLVS2_C07_neg Normalized Area,CLVS2_C08_neg m/z,CLVS2_C08_neg RT mean,CLVS2_C08_neg Normalized Area,CLVS2_C09_neg m/z,CLVS2_C09_neg RT mean,CLVS2_C09_neg Normalized Area,CLVS2_C10_neg m/z,CLVS2_C10_neg RT mean,CLVS2_C10_neg Normalized Area,CLVS2_C11_neg m/z,CLVS2_C11_neg RT mean,CLVS2_C11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.01,3.19,722.7915,12.83 - 14.06,1,475.2,-,-,0,-,-,0,-,-,0,-,-,0,722.7943,13.08,2.52E3,-,-,0,722.7888,14.01,1.76E3,-,-,0,-,-,0,0:0:0:0:1.00:0:0.70:0:0,5.04E2,4.4E2,1.00:0.87,13.54,,
,0.01,8.46,304.8425,3.13 - 3.49,1,68.6,-,-,0,304.8427,3.43,3.25E2,304.8423,3.20,2.93E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.11:1.00:0:0:0:0:0:0,1.23E2,0,1.00:0,3.31,,
,0.01,4.83,275.8231,3.52 - 3.97,1,151.5,-,-,0,-,-,0,275.8228,3.58,3.85E2,-,-,0,-,-,0,-,-,0,275.8235,3.94,9.79E2,-,-,0,-,-,0,0:0:1.00:0:0:0:2.54:0:0,7.7E1,2.45E2,1.00:3.18,3.76,,
,0.01,4.26,612.8212,12.17 - 12.41,1,71.8,-,-,0,-,-,0,612.8192,12.38,2.27E2,-,-,0,-,-,0,-,-,0,612.8233,12.22,4.19E2,-,-,0,-,-,0,0:0:1.00:0:0:0:1.84:0:0,4.54E1,1.05E2,1.00:2.30,12.30,,
,0.01,3.24,348.9074,2.17 - 2.59,3,34.3,-,-,0,348.9074,2.29,1.58E2,-,-,0,-,-,0,-,-,0,-,-,0,348.9073,2.56,1.51E2,-,-,0,-,-,0,0:1.00:0:0:0:0:0.95:0:0,3.17E1,3.77E1,1.00:1.19,2.42,,
,0.01,8.42,474.8777,11.44 - 12.30,1,425.6,474.8786,11.73,2.5E3,-,-,0,-,-,0,-,-,0,474.8768,12.04,1.33E3,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0.53:0:0:0:0,7.66E2,0,1.00:0,11.89,,
,0.01,8.42,577.8004,6.36 - 6.94,1,167,577.8000,6.79,5.09E2,-,-,0,-,-,0,-,-,0,577.8008,6.50,9.94E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:1.95:0:0:0:0,3.01E2,0,1.00:0,6.65,,
,0.01,8.42,261.0740,15.78 - 16.83,1,206,-,-,0,-,-,0,261.0739,16.65,1.49E3,261.0742,15.80,3.61E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0.24:0:0:0:0:0,3.71E2,0,1.00:0,16.22,,
,0.01,8.42,766.4370,15.44 - 15.91,3,92.9,-,-,0,766.4385,15.85,3.6E2,-,-,0,-,-,0,766.4356,15.54,4.76E2,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:1.32:0:0:0:0,1.67E2,0,1.00:0,15.70,,
,0.01,8.42,426.1708,3.21 - 3.89,1,407.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,426.1708,3.42,3.66E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,9.16E2,0:1.00,3.42,,
,0.01,8.42,349.8662,20.25 - 20.30,1,140,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,349.8662,20.26,1.26E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,3.15E2,0:1.00,20.26,,
,0.01,8.42,259.8158,8.19 - 9.04,9,121.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,259.8155,8.80,5.18E2,259.8160,8.26,5.77E2,-,-,0,-,-,0,0:0:0:0:0:1.00:1.11:0:0,0,2.74E2,0:1.00,8.53,,
,0.01,3.95,668.7898,7.30 - 7.55,1,97.3,668.7913,7.35,6.17E2,-,-,0,-,-,0,-,-,0,-,-,0,668.7884,7.41,2.59E2,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0.42:0:0:0,1.23E2,6.46E1,1.00:0.52,7.38,,
,0.01,3.06,713.7742,12.95 - 13.82,1,88.9,-,-,0,-,-,0,713.7739,13.80,4.37E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,713.7744,12.98,3.63E2,0:0:1.00:0:0:0:0:0:0.83,8.74E1,9.08E1,1.00:1.04,13.39,,
,0.01,8.46,348.8975,3.60 - 4.33,1,111.3,-,-,0,-,-,0,348.8975,3.69,1E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,2E2,0,1.00:0,3.69,,
,0.01,8.46,695.7993,20.25 - 20.32,1,34.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,695.7993,20.29,3.07E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,7.68E1,0:1.00,20.29,,
,0.01,8.46,485.8853,7.69 - 8.80,1,109.4,-,-,0,-,-,0,485.8852,8.66,6.24E2,485.8854,7.71,3.61E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0.58:0:0:0:0:0,1.97E2,0,1.00:0,8.19,,
,0.01,8.42,632.8138,8.61 - 8.80,1,251,-,-,0,-,-,0,-,-,0,632.8115,8.67,9.29E2,632.8160,8.71,1.33E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:1.43:0:0:0:0,4.52E2,0,1.00:0,8.69,,
,0.01,8.42,621.8591,15.05 - 16.04,1,201.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,621.8600,15.11,1.03E3,621.8582,16.00,7.85E2,-,-,0,0:0:0:0:0:0:1.00:0.76:0,0,4.54E2,0:1.00,15.55,,
,0.01,8.42,387.0972,1.50 - 1.74,1,275.2,-,-,0,-,-,0,387.0972,1.62,2.48E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,4.95E2,0,1.00:0,1.62,,
,0.01,3.14,688.8412,7.13 - 7.72,1,183.9,-,-,0,-,-,0,-,-,0,-,-,0,688.8397,7.31,9.61E2,688.8428,7.14,6.94E2,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0.72:0:0:0,1.92E2,1.73E2,1.00:0.90,7.22,,
,0.01,8.38,703.7493,20.47 - 20.78,1,72.9,-,-,0,703.7504,20.50,4E2,-,-,0,703.7482,20.67,2.57E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0.64:0:0:0:0:0,1.31E2,0,1.00:0,20.59,,
,0.01,3.67,475.8553,14.11 - 14.65,1,138.4,-,-,0,475.8561,14.23,5.47E2,-,-,0,-,-,0,-,-,0,475.8544,14.52,6.99E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:1.28:0:0:0,1.09E2,1.75E2,1.00:1.60,14.37,,
,0.01,8.34,533.8095,8.72 - 8.77,1,23.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,533.8095,8.76,2.08E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,5.21E1,0:1.00,8.76,,
,0.01,8.34,748.7912,7.84 - 8.59,1,72.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,748.7892,7.88,4.48E2,748.7932,8.53,2.06E2,-,-,0,0:0:0:0:0:0:1.00:0.46:0,0,1.63E2,0:1.00,8.20,,
,0.01,8.34,586.9005,12.30 - 13.15,2,164.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,586.9012,12.94,1.04E3,586.8997,12.37,4.43E2,0:0:0:0:0:0:0:1.00:0.43,0,3.71E2,0:1.00,12.66,,
,0.01,3.08,378.8272,0.86 - 1.02,3,60.1,-,-,0,-,-,0,-,-,0,-,-,0,378.8276,0.92,2.92E2,-,-,0,-,-,0,-,-,0,378.8268,0.98,2.48E2,0:0:0:0:1.00:0:0:0:0.85,5.85E1,6.21E1,1.00:1.06,0.95,,
,0.01,8.34,624.7969,20.57 - 20.84,1,67.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,624.7982,20.58,2.22E2,624.7957,20.81,3.85E2,-,-,0,-,-,0,0:0:0:0:0:1.00:1.73:0:0,0,1.52E2,0:1.00,20.70,,
,0.01,3.67,791.7859,12.84 - 13.62,1,111.3,791.7849,12.87,4.38E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,791.7869,13.57,5.63E2,-,-,0,1.00:0:0:0:0:0:0:1.28:0,8.77E1,1.41E2,1.00:1.61,13.22,,
,0.01,4.39,667.5148,10.24 - 10.40,3,138.7,-,-,0,667.5151,10.32,4.16E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,667.5144,10.32,8.33E2,-,-,0,0:1.00:0:0:0:0:0:2.00:0,8.32E1,2.08E2,1.00:2.50,10.32,,
,0.01,4.02,484.8815,8.05 - 8.86,1,420.3,-,-,0,-,-,0,484.8809,8.72,1.45E3,-,-,0,-,-,0,484.8821,8.18,2.33E3,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:1.61:0:0:0,2.9E2,5.83E2,1.00:2.01,8.45,,
,0.01,8.34,413.8164,1.18 - 1.80,2,39.4,-,-,0,-,-,0,413.8160,1.71,1.89E2,413.8168,1.25,1.65E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0.88:0:0:0:0:0,7.08E1,0,1.00:0,1.48,,
,0.01,8.34,336.8585,5.88 - 5.94,1,84.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,336.8585,5.91,7.6E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,1.9E2,0:1.00,5.91,,
,0.01,8.34,680.8119,12.89 - 13.21,1,110.6,680.8128,12.91,2.97E2,680.8110,13.11,6.98E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:2.35:0:0:0:0:0:0:0,1.99E2,0,1.00:0,13.01,,
,0.01,8.34,800.8026,14.90 - 15.09,1,218.3,-,-,0,800.8044,15.00,1.38E3,800.8008,15.06,5.85E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:2.36:1.00:0:0:0:0:0:0,3.93E2,0,1.00:0,15.03,,
,0.01,8.31,605.8154,21.67 - 21.85,1,83.4,-,-,0,605.8159,21.74,4.25E2,605.8149,21.71,3.26E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.31:1.00:0:0:0:0:0:0,1.5E2,0,1.00:0,21.73,,
,0.01,8.31,496.8323,6.26 - 7.20,2,652.5,496.8328,6.60,3.19E3,496.8318,6.95,2.68E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0.84:0:0:0:0:0:0:0,1.17E3,0,1.00:0,6.77,,
,0.01,8.31,633.8225,1.30 - 1.52,1,65.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,633.8232,1.38,2.8E2,633.8218,1.48,3.05E2,-,-,0,-,-,0,0:0:0:0:0:1.00:1.09:0:0,0,1.46E2,0:1.00,1.43,,
,0.01,3.41,740.7878,12.02 - 12.63,1,128.8,-,-,0,740.7878,12.03,5.59E2,-,-,0,-,-,0,-,-,0,-,-,0,740.7879,12.60,6E2,-,-,0,-,-,0,0:1.00:0:0:0:0:1.07:0:0,1.12E2,1.5E2,1.00:1.34,12.32,,
,0.01,8.31,678.8143,10.20 - 10.99,1,267.3,678.8123,10.25,8.19E2,-,-,0,-,-,0,678.8163,10.85,1.59E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:1.94:0:0:0:0:0,4.81E2,0,1.00:0,10.55,,
,0.01,8.31,712.4922,6.92 - 7.36,3,77.9,-,-,0,712.4933,6.98,3.58E2,712.4911,7.30,3.44E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.04:1.00:0:0:0:0:0:0,1.4E2,0,1.00:0,7.14,,
,0.01,6.38,586.8092,5.58 - 10.05,1,122.8,-,-,0,-,-,0,-,-,0,-,-,0,586.8086,5.67,1.87E2,586.8096,5.92,7.95E2,-,-,0,586.8094,6.28,-,-,-,0,0:0:0:0:1.00:4.25:0:-:0,3.75E1,2.65E2,1.00:7.08,5.95,,
,0.01,4.17,766.7843,13.20 - 13.68,1,75.2,-,-,0,-,-,0,-,-,0,-,-,0,766.7823,13.67,2.45E2,766.7862,13.24,4.32E2,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:1.77:0:0:0,4.9E1,1.08E2,1.00:2.21,13.45,,
,0.01,8.31,474.8519,15.78 - 16.69,1,223.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,474.8512,16.61,6.14E2,-,-,0,-,-,0,474.8526,15.87,1.39E3,0:0:0:0:0:1.00:0:0:2.27,0,5.02E2,0:1.00,16.24,,
,0.01,8.31,610.8175,18.73 - 19.36,1,351.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,610.8165,18.76,8.46E2,-,-,0,610.8184,19.23,2.32E3,-,-,0,0:0:0:0:0:1.00:0:2.74:0,0,7.91E2,0:1.00,18.99,,
,0.01,4.56,721.7415,20.37 - 20.52,1,60.8,721.7438,20.50,1.69E2,-,-,0,-,-,0,-,-,0,-,-,0,721.7391,20.43,3.78E2,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:2.23:0:0:0,3.39E1,9.44E1,1.00:2.79,20.47,,
,0.01,8.31,646.7921,11.40 - 12.97,1,67.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,646.7930,11.44,2.81E2,-,-,0,646.7911,12.91,3.28E2,-,-,0,0:0:0:0:0:1.00:0:1.17:0,0,1.52E2,0:1.00,12.18,,
,0.01,3.06,337.1173,17.91 - 19.03,1,123.9,337.1172,18.94,6.31E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,337.1175,17.94,4.85E2,-,-,0,1.00:0:0:0:0:0:0:0.77:0,1.26E2,1.21E2,1.00:0.96,18.44,,
,0.01,8.31,475.8694,13.62 - 14.32,1,307.2,-,-,0,475.8692,14.12,1.23E3,-,-,0,-,-,0,475.8697,13.65,1.53E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:1.24:0:0:0:0,5.53E2,0,1.00:0,13.88,,
,0.01,3.76,542.8402,11.31 - 16.35,1,6.5E3,-,-,0,-,-,0,542.8400,11.48,4E4,-,-,0,-,-,0,-,-,0,542.8405,13.01,1.88E4,-,-,0,-,-,0,0:0:1.00:0:0:0:0.47:0:0,8.01E3,4.71E3,1.00:0.59,12.24,,
,0.01,3.03,752.3145,19.58 - 19.80,2,710.4,-,-,0,-,-,0,-,-,0,-,-,0,752.3166,19.69,3.52E3,-,-,0,-,-,0,752.3124,19.64,2.88E3,-,-,0,0:0:0:0:1.00:0:0:0.82:0,7.04E2,7.19E2,1.00:1.02,19.67,,
,0.01,8.31,710.8323,10.83 - 12.20,1,370,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,710.8298,10.97,2.08E3,710.8347,11.57,1.25E3,-,-,0,0:0:0:0:0:0:1.00:0.60:0,0,8.33E2,0:1.00,11.27,,
,0.01,5.19,416.8937,19.52 - 20.08,1,242.1,-,-,0,-,-,0,-,-,0,-,-,0,416.8946,19.96,5.25E2,-,-,0,416.8929,19.61,1.65E3,-,-,0,-,-,0,0:0:0:0:1.00:0:3.15:0:0,1.05E2,4.13E2,1.00:3.93,19.78,,
,0.01,8.31,528.8495,6.70 - 8.96,1,632.2,-,-,0,528.8495,7.05,4.76E3,528.8494,7.60,9.3E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:5.12:1.00:0:0:0:0:0:0,1.14E3,0,1.00:0,7.33,,
,0.01,3.89,866.8009,9.21 - 9.89,1,614.2,-,-,0,866.8042,9.73,2.22E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,866.7976,9.29,3.3E3,-,-,0,0:1.00:0:0:0:0:0:1.49:0,4.45E2,8.26E2,1.00:1.86,9.51,,
,0.01,3.87,537.8253,1.60 - 1.89,1,162,-,-,0,537.8245,1.64,5.91E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,537.8262,1.79,8.67E2,0:1.00:0:0:0:0:0:0:1.47,1.18E2,2.17E2,1.00:1.83,1.72,,
,0.01,8.31,588.8244,11.02 - 12.77,1,476.6,588.8226,11.04,1.4E3,-,-,0,588.8262,11.83,2.89E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0.48:0:1.00:0:0:0:0:0:0,8.58E2,0,1.00:0,11.43,,
,0.01,8.31,849.7437,11.21 - 11.63,1,71.9,849.7419,11.58,3.7E2,-,-,0,-,-,0,849.7454,11.24,2.77E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0.75:0:0:0:0:0,1.29E2,0,1.00:0,11.41,,
,0.01,8.31,422.3270,1.52 - 4.62,2,382.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,422.3267,1.67,2.69E3,422.3273,1.64,7.52E2,-,-,0,0:0:0:0:0:0:1.00:0.28:0,0,8.61E2,0:1.00,1.66,,
,0.01,4.71,712.7635,5.98 - 6.61,1,229.5,712.7644,6.01,6.03E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,712.7627,6.54,1.46E3,-,-,0,-,-,0,1.00:0:0:0:0:0:2.43:0:0,1.21E2,3.66E2,1.00:3.04,6.27,,
,0.01,4.66,644.7794,11.81 - 12.76,1,242.4,-,-,0,-,-,0,-,-,0,-,-,0,644.7785,11.87,6.49E2,-,-,0,644.7803,12.58,1.53E3,-,-,0,-,-,0,0:0:0:0:1.00:0:2.36:0:0,1.3E2,3.83E2,1.00:2.95,12.22,,
,0.01,6.40,689.8477,12.88 - 13.06,1,134.9,689.8477,12.94,1.81E2,-,-,0,-,-,0,-,-,0,-,-,0,689.8477,12.97,1.03E3,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:5.70:0:0:0,3.62E1,2.58E2,1.00:7.12,12.96,,
,0.01,8.31,370.8334,14.62 - 15.81,1,204.8,-,-,0,370.8334,14.80,1.44E3,370.8334,15.58,4E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:3.60:1.00:0:0:0:0:0:0,3.69E2,0,1.00:0,15.19,,
,0.01,8.31,574.8491,11.81 - 15.01,1,1E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,574.8483,12.60,1.95E3,574.8499,11.96,7.22E3,-,-,0,0:0:0:0:0:0:1.00:3.71:0,0,2.29E3,0:1.00,12.28,,
,0.01,8.31,1262.7518,20.15 - 20.20,1,499.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1262.7518,20.19,4.5E3,0:0:0:0:0:0:0:0:1.00,0,1.12E3,0:1.00,20.19,,
,0.01,3.71,648.7818,4.04 - 4.33,3,246.6,-,-,0,-,-,0,648.7808,4.22,9.59E2,-,-,0,-,-,0,-,-,0,-,-,0,648.7828,4.21,1.26E3,-,-,0,0:0:1.00:0:0:0:0:1.31:0,1.92E2,3.15E2,1.00:1.64,4.21,,
,0.01,3.09,747.8090,14.88 - 15.39,1,101.6,-,-,0,-,-,0,-,-,0,-,-,0,747.8107,14.92,5.22E2,-,-,0,-,-,0,-,-,0,747.8073,15.30,3.93E2,0:0:0:0:1.00:0:0:0:0.75,1.04E2,9.82E1,1.00:0.94,15.11,,
,0.01,8.31,306.8457,1.99 - 2.47,1,61.8,-,-,0,306.8458,2.04,2.76E2,306.8457,2.35,2.8E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0.99:1.00:0:0:0:0:0:0,1.11E2,0,1.00:0,2.20,,
,0.01,8.31,876.8215,18.80 - 18.91,1,190.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,876.8215,18.85,1.72E3,0:0:0:0:0:0:0:0:1.00,0,4.29E2,0:1.00,18.85,,
,0.01,8.31,837.7787,10.61 - 10.70,1,37.2,-,-,0,-,-,0,837.7787,10.62,3.35E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,6.69E1,0,1.00:0,10.62,,
,0.01,3.62,372.9101,3.56 - 3.73,3,138,-,-,0,-,-,0,372.9107,3.68,5.55E2,-,-,0,-,-,0,372.9095,3.62,6.87E2,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:1.24:0:0:0,1.11E2,1.72E2,1.00:1.55,3.65,,
,0.01,8.35,651.7964,21.23 - 21.37,1,28.7,651.7964,21.34,2.59E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,5.17E1,0,1.00:0,21.34,,
,0.01,8.35,576.7931,8.16 - 8.30,1,142,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,576.7930,8.23,3.85E2,-,-,0,576.7932,8.18,8.93E2,0:0:0:0:0:0:1.00:0:2.32,0,3.2E2,0:1.00,8.21,,
,0.01,4.86,732.8154,16.51 - 17.24,1,339.7,-,-,0,-,-,0,-,-,0,732.8132,16.53,8.47E2,-,-,0,732.8175,17.07,2.21E3,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:2.61:0:0:0,1.69E2,5.53E2,1.00:3.26,16.80,,
,0.01,3.39,711.8366,12.38 - 12.67,1,204.1,-,-,0,-,-,0,-,-,0,-,-,0,711.8374,12.54,1.14E3,-,-,0,711.8358,12.44,6.92E2,-,-,0,-,-,0,0:0:0:0:1.00:0:0.60:0:0,2.29E2,1.73E2,1.00:0.76,12.49,,
,0.01,3.10,608.8117,5.62 - 7.66,1,1.5E3,-,-,0,-,-,0,608.8091,5.68,7.41E3,-,-,0,-,-,0,-,-,0,-,-,0,608.8143,6.68,6.35E3,-,-,0,0:0:1.00:0:0:0:0:0.86:0,1.48E3,1.59E3,1.00:1.07,6.18,,
,0.01,8.31,598.8534,14.90 - 15.75,1,285.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,598.8535,15.15,2.05E3,598.8533,15.35,5.12E2,0:0:0:0:0:0:0:1.00:0.25,0,6.41E2,0:1.00,15.25,,
,0.01,8.31,845.7429,20.24 - 20.36,1,142.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,845.7388,20.32,5.52E2,-,-,0,-,-,0,845.7471,20.32,7.34E2,0:0:0:0:0:1.00:0:0:1.33,0,3.22E2,0:1.00,20.32,,
,0.01,4.10,516.8252,1.24 - 1.90,1,79.1,-,-,0,-,-,0,-,-,0,516.8264,1.32,2.64E2,-,-,0,-,-,0,516.8240,1.84,4.48E2,-,-,0,-,-,0,0:0:0:1.00:0:0:1.69:0:0,5.29E1,1.12E2,1.00:2.12,1.58,,
,0.01,3.04,654.8427,19.40 - 20.05,2,162.7,-,-,0,654.8424,19.99,8.22E2,-,-,0,-,-,0,-,-,0,654.8429,19.40,6.42E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0.78:0:0:0,1.64E2,1.6E2,1.00:0.98,19.70,,
,0.01,8.34,596.8346,1.49 - 2.30,1,369.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,596.8346,2.21,3.32E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,8.31E2,0:1.00,2.21,,
,0.01,8.34,800.8038,11.26 - 11.55,1,182.6,-,-,0,-,-,0,800.8038,11.30,1.64E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,3.29E2,0,1.00:0,11.30,,
,0.01,4.46,312.8640,14.44 - 14.92,3,238,-,-,0,312.8640,14.71,1.64E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,312.8641,14.57,5.01E2,-,-,0,0:1.00:0:0:0:0:0:0.31:0,3.28E2,1.25E2,1.00:0.38,14.64,,
,0.01,8.34,820.7986,19.71 - 20.22,2,896.4,-,-,0,-,-,0,820.7959,20.14,1.05E3,-,-,0,820.8012,20.08,7.01E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:6.67:0:0:0:0,1.61E3,0,1.00:0,20.11,,
,0.01,8.34,773.3111,9.97 - 10.56,2,80.4,-,-,0,-,-,0,-,-,0,773.3127,10.53,3.04E2,773.3094,10.06,4.2E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:1.38:0:0:0:0,1.45E2,0,1.00:0,10.30,,
,0.01,8.34,520.7634,1.19 - 1.41,1,147,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,520.7634,1.25,1.32E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,3.31E2,0:1.00,1.25,,
,0.01,3.97,590.8213,12.00 - 12.80,1,140.1,-,-,0,-,-,0,-,-,0,-,-,0,590.8209,12.75,4.94E2,-,-,0,590.8217,12.09,7.66E2,-,-,0,-,-,0,0:0:0:0:1.00:0:1.55:0:0,9.88E1,1.92E2,1.00:1.94,12.42,,
,0.01,8.34,756.7585,10.12 - 11.01,1,65.4,756.7592,10.17,2.51E2,-,-,0,-,-,0,-,-,0,756.7579,10.95,3.37E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:1.34:0:0:0:0,1.18E2,0,1.00:0,10.56,,
,0.01,8.34,602.7963,13.45 - 13.90,1,52.8,602.7968,13.86,1.83E2,-,-,0,-,-,0,602.7958,13.47,2.92E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:1.60:0:0:0:0:0,9.5E1,0,1.00:0,13.66,,
,0.01,4.89,668.7868,9.25 - 9.61,1,148.2,668.7871,9.30,3.63E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,668.7865,9.48,9.71E2,-,-,0,-,-,0,1.00:0:0:0:0:0:2.68:0:0,7.25E1,2.43E2,1.00:3.35,9.39,,
,0.01,8.31,549.1333,3.32 - 3.44,1,180.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,549.1333,3.37,1.62E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,4.06E2,0:1.00,3.37,,
,0.01,4.93,462.8779,12.88 - 15.22,1,359.3,-,-,0,-,-,0,-,-,0,462.8777,12.95,2.62E3,-,-,0,-,-,0,-,-,0,-,-,0,462.8781,14.01,6.13E2,0:0:0:1.00:0:0:0:0:0.23,5.24E2,1.53E2,1.00:0.29,13.48,,
,0.01,8.31,725.8740,13.06 - 13.80,1,656.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,725.8740,13.10,5.91E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.48E3,0:1.00,13.10,,
